230107199601271234	1	1
230107199601271234	2	1
230107199601271234	4	3
230107199601271235	5	1
230107199601271235	4	1
230107199601271235	2	3
230107199601271235	3	2
230107199601271236	3	6
230107199601271236	1	1
230107199601271234	3	1
230107199601271234	5	1
230107199601271234	3	1
230107199601271234	5	1
230107199601271234	6	1
230107199601271234	7	1
230107199601271234	8	1
230107199601271234	9	1
230107199601271234	10	1
230107199601271234	11	1
230107199601271237	1	1
230107199601271237	2	2
230107199601271237	4	3
230107199601271238	1	1
230107199601271238	2	2
230107199601271238	4	3
