张红	230107199601271234	哈工大	3600	230107199601271234	1 
霍峻杰	230107199601271235	斯坦福	50000	230107199601271235	2
徐嘉卓	230107199601271236	斯坦福	63000	230107199601271236	3
周芳桐	230107199601271237	机械楼	9200	230107199601271237	4
马丝雨	230107199601271238	立汇	6000	230107199601271238	5
e1	230107199601271239	立汇1	2200	230107199601271238	5
e2	230107199601271240	立汇2	1200	230107199601271234	1
e3	230107199601271241	立汇3	5000	230107199601271235	2
e4	230107199601271242	立汇4	6800	230107199601271235	2
e5	230107199601271243	立汇5	1800	230107199601271236	3
e6	230107199601271244	立汇6	1900	230107199601271238	5
e7	230107199601271245	立汇7	1600	230107199601271235	2
e8	230107199601271246	立汇8	2800	230107199601271234	1
e9	230107199601271247	立汇9	3500	230107199601271236	3
e10	230107199601271248	立汇10	3600	230107199601271235	2
e11	230107199601271249	立汇11	3700	230107199601271236	3
e12	230107199601271250	立汇12	2900	230107199601271237	4
e13	230107199601271251	立汇13	2700	230107199601271237	4
e14	230107199601271252	立汇14	2600	230107199601271237	4
e15	230107199601271253	立汇15	2500	230107199601271234	1
e16	230107199601271254	立汇16	3600	230107199601271236	3
e17	230107199601271255	立汇17	3900	230107199601271238	5
e18	230107199601271256	立汇18	3700	230107199601271236	3
e19	230107199601271257	立汇19	6000	230107199601271237	4
e20	230107199601271258	立汇20	8700	230107199601271234	1
e21	230107199601271259	立汇21	6900	230107199601271238	5
e22	230107199601271260	立汇22	2700	230107199601271238	5
e23	230107199601271261	立汇23	2300	230107199601271236	3
e24	230107199601271262	立汇24	7000	230107199601271235	2
e25	230107199601271263	立汇25	6000	230107199601271235	2
e26	230107199601271264	立汇26	2300	230107199601271236	3
e27	230107199601271265	立汇27	1100	230107199601271234	1
e28	230107199601271266	立汇28	3300	230107199601271237	4
e29	230107199601271267	立汇29	2600	230107199601271237	4
e30	230107199601271268	立汇30	2400	230107199601271236	3
e31	230107199601271269	立汇31	2400	230107199601271234	1
e32	230107199601271270	立汇32	2800	230107199601271238	5
e33	230107199601271271	立汇33	2600	230107199601271235	2
e34	230107199601271272	立汇34	2700	230107199601271236	3
e35	230107199601271273	立汇35	3100	230107199601271236	3
e36	230107199601271274	立汇36	3200	230107199601271235	2
e37	230107199601271275	立汇37	3200	230107199601271238	5
e38	230107199601271276	立汇38	7900	230107199601271238	5
e39	230107199601271277	立汇39	3600	230107199601271237	4
e40	230107199601271278	立汇40	2700	230107199601271238	5
e41	230107199601271279	立汇41	3600	230107199601271234	1
e42	230107199601271280	立汇42	3900	230107199601271238	5
e43	230107199601271281	立汇43	4700	230107199601271234	1
e44	230107199601271282	立汇44	2700	230107199601271238	5
e45	230107199601271283	立汇45	5900	230107199601271238	5
